fdh_id,total_terminals,connected_to_fiber,missing_cable,percentage_connected
FDH101001,19,19,0,100.0
FDH101002,31,31,0,100.0
FDH101003,24,24,0,100.0
FDH101004,31,31,0,100.0
FDH101005,30,30,0,100.0
FDH101006,18,18,0,100.0
FDH101007,15,15,0,100.0
FDH101008,17,17,0,100.0
FDH101009,20,20,0,100.0
FDH101010,30,30,0,100.0
FDH101011,8,8,0,100.0
FDH101012,30,30,0,100.0
FDH101013,20,20,0,100.0
FDH101014,17,17,0,100.0
FDH101015,10,10,0,100.0
FDH101016,31,31,0,100.0
FDH102001,14,14,0,100.0
FDH102002,31,31,0,100.0
FDH102003,44,40,4,90.91
FDH102004,24,24,0,100.0
FDH102005,16,16,0,100.0
FDH102006,28,28,0,100.0
FDH102007,5,5,0,100.0
FDH102008,21,21,0,100.0
FDH102009,22,22,0,100.0
FDH102010,14,14,0,100.0
FDH102011,27,27,0,100.0
FDH102012,16,16,0,100.0
FDH102013,12,12,0,100.0
FDH102014,27,25,2,92.59
FDH102015,8,8,0,100.0
FDH102016,11,11,0,100.0
FDH102017,25,25,0,100.0
FDH102018,14,14,0,100.0
FDH103001,14,14,0,100.0
FDH103002,12,12,0,100.0
FDH103003,25,25,0,100.0
FDH103004,23,23,0,100.0
FDH103005,27,27,0,100.0
FDH103006,33,33,0,100.0
FDH103007,32,32,0,100.0
FDH103008,24,24,0,100.0
FDH103009,8,8,0,100.0
FDH103010,16,16,0,100.0
FDH103011,30,27,3,90.0
FDH103012,16,16,0,100.0
FDH103013,17,17,0,100.0
FDH103014,14,14,0,100.0
FDH103015,18,18,0,100.0
FDH104001,15,12,3,80.0
FDH104002,12,10,2,83.33
FDH104003,3,3,0,100.0
FDH104004,15,15,0,100.0
FDH104005,6,6,0,100.0
FDH104006,17,17,0,100.0
FDH104007,21,21,0,100.0
FDH104008,17,17,0,100.0
FDH104009,18,18,0,100.0
FDH104010,17,17,0,100.0
FDH104011,14,14,0,100.0
FDH104012,15,15,0,100.0
FDH104013,15,15,0,100.0
FDH104014,17,17,0,100.0
FDH104015,22,22,0,100.0
FDH104016,22,22,0,100.0
FDH104017,37,37,0,100.0
FDH105001,21,21,0,100.0
FDH105002,19,19,0,100.0
FDH105003,18,18,0,100.0
FDH105004,21,21,0,100.0
FDH105005,34,34,0,100.0
FDH105006,31,31,0,100.0
FDH105007,35,35,0,100.0
FDH105008,39,39,0,100.0
FDH105009,27,27,0,100.0
FDH105010,23,23,0,100.0
FDH106001,51,51,0,100.0
FDH106002,42,42,0,100.0
FDH106004,21,21,0,100.0
FDH106005,40,40,0,100.0
FDH107001,21,21,0,100.0
FDH107002,24,24,0,100.0
FDH107003,22,22,0,100.0
FDH107004,18,17,1,94.44
FDH107005,31,31,0,100.0
FDH107006,29,29,0,100.0
FDH201004,14,14,0,100.0
FDH201008,13,13,0,100.0
FDH201009,11,11,0,100.0
FDH201010,12,12,0,100.0
FDH201011,27,27,0,100.0
FDH201012,30,30,0,100.0
FDH201013,19,19,0,100.0
FDH201014,5,5,0,100.0
FDH201015,29,29,0,100.0
FDH201016,17,17,0,100.0
FDH201017,12,12,0,100.0
FDH201018,18,18,0,100.0
FDH201023,14,14,0,100.0
FDH201024,11,11,0,100.0
FDH201025,16,16,0,100.0
FDH201026,14,14,0,100.0
FDH201033,14,14,0,100.0
FDH201034,22,22,0,100.0
FDH201035,9,9,0,100.0
FDH201036,19,19,0,100.0
FDH201037,14,14,0,100.0
FDH201038,7,7,0,100.0
FDH201039,14,14,0,100.0
FDH201040,7,7,0,100.0
FDH201041,10,10,0,100.0
FDH201042,15,15,0,100.0
FDH201043,16,16,0,100.0
FDH201048,12,12,0,100.0
FDH201050,12,12,0,100.0
FDH201051,7,7,0,100.0
FDH202001,10,10,0,100.0
FDH202002,6,6,0,100.0
FDH202003,26,26,0,100.0
FDH202005,13,13,0,100.0
