terminal_id,fdh_id,cable_id,has_fiber_cable,has_virtual_link,unnecessary_virtual
T1002750,FDH107002,48FOC/F1000703/T1002750,True,True,True
T1002751,FDH107002,48FOC/F1000703/T1002750,True,True,True
T1002752,FDH107002,48FOC/F1000703/T1002750,True,True,True
T1002753,FDH107002,48FOC/F1000703/T1002750,True,True,True
T1002754,FDH107002,48FOC/F1000702/F1000703,True,True,True
T1002755,FDH107002,96FOC/F1000747/F1000702,True,True,True
T1002756,FDH107002,96FOC/F1000747/F1000702,True,True,True
T1002757,FDH107002,96FOC/F1000747/F1000702,True,True,True
T1002759,FDH107002,48FOC/F1000747/F1000700,True,True,True
T1002760,FDH107002,96FOC/F1000706/F1000708,True,True,True
T1002761,FDH107002,96FOC/F1000709/F1000708,True,True,True
T1002762,FDH107002,96FOC/F1000709/F1000708,True,True,True
T1002763,FDH107002,96FOC/F1000709/F1000708,True,True,True
T1002764,FDH107002,48FOC/F1000710/F1000709,True,True,True
T1002765,FDH107002,48FOC/F1000710/F1000709,True,True,True
T1002766,FDH107002,48FOC/F1000710/F1000711,True,True,True
T1002767,FDH107002,48FOC/F1000710/F1000711,True,True,True
T1002768,FDH107002,48FOC/F1000710/F1000711,True,True,True
T1002769,FDH107002,48FOC/F1000711/T1002960,True,True,True
T1002770,FDH107002,48FOC/F1000711/T1002960,True,True,True
T1002771,FDH107002,48FOC/F1000700/F1000701,True,True,True
T1002772,FDH107003,48FOC/F1000700/F1000701,True,True,True
T1002773,FDH107003,48FOC/F1000700/F1000701,True,True,True
T1002774,FDH107003,96FOC/F1000701/F1000720,True,True,True
T1002775,FDH107003,96FOC/F1000701/F1000720,True,True,True
T1002776,FDH107003,48FOC/F1000701/F1000704,True,True,True
T1002777,FDH107003,48FOC/F1000701/F1000704,True,True,True
T1002779,FDH107003,48FOC/F1000704/F1000705,True,True,True
T1002780,FDH107003,48FOC/F1000704/F1000705,True,True,True
T1002783,FDH107002,48FOC/F1000747/F1000700,True,True,True
T1002784,FDH107004,144FOC/F1000724/F1000722,True,True,True
T1002785,FDH107001,144FOC/F1000722/F1000714,True,True,True
T1002786,FDH107001,144FOC/F1000722/F1000714,True,True,True
T1002789,FDH107001,144FOC/F1000712/F1000713,True,True,True
T1002791,FDH107001,144FOC/F1000715/F1000712,True,True,True
T1002795,FDH107001,144FOC/F1000714/F1000715,True,True,True
T1002797,FDH107001,144FOC/F1000714/F1000715,True,True,True
T1002798,FDH107001,144FOC/F1000714/F1000715,True,True,True
T1002799,FDH107001,144FOC/F1000714/F1000715,True,True,True
T1002800,FDH107001,96FOC/F1000748/T1002800,True,True,True
T1002801,FDH107001,96FOC/F1000748/T1002800,True,True,True
T1002802,FDH107001,96FOC/F1000714/F1000748,True,True,True
T1002805,FDH107001,144FOC/F1000715/F1000712,True,True,True
T1002810,FDH107001,144FOC/F1000714/F1000715,True,True,True
T1002811,FDH107001,96FOC/F1000714/F1000748,True,True,True
T1002812,FDH107001,96FOC/F1000748/T1002800,True,True,True
T1002813,FDH107001,144FOC/F1000715/F1000712,True,True,True
T1002814,FDH107001,144FOC/F1000712/F1000713,True,True,True
T1002815,FDH107003,48FOC/F1000720/T1002847,True,True,True
T1002816,FDH107003,48FOC/F1000720/T1002847,True,True,True
T1002817,FDH107003,144FOC/F1000720/F1000716,True,True,True
T1002818,FDH107003,144FOC/F1000720/F1000716,True,True,True
T1002822,FDH107004,96FOC/F1000716/F1000732,True,True,True
T1002823,FDH107003,96FOC/F1000716/F1000732,True,True,True
T1002824,FDH107003,144FOC/F1000716/F1000719,True,True,True
