terminal_id,type,fdh_id,trunk_id,has_stub,distance_to_fdh_m,reclassify_as,has_virtual_fiber_link
T1002750,Aerial Terminal,FDH107002,TRUNK10755,False,,virtual_stub_cable,True
T1002751,Aerial Terminal,FDH107002,TRUNK10755,False,,virtual_stub_cable,True
T1002752,Aerial Terminal,FDH107002,TRUNK10755,False,,virtual_stub_cable,True
T1002753,Aerial Terminal,FDH107002,TRUNK10755,False,,virtual_stub_cable,True
T1002754,Aerial Terminal,FDH107002,TRUNK10754,False,,virtual_stub_cable,True
T1002755,Aerial Terminal,FDH107002,TRUNK10753,False,,virtual_stub_cable,True
T1002756,Aerial Terminal,FDH107002,TRUNK10753,False,,virtual_stub_cable,True
T1002759,Aerial Terminal,FDH107002,TRUNK10745,False,,virtual_stub_cable,True
T1002760,Aerial Terminal,FDH107002,TRUNK10751,False,,virtual_stub_cable,True
T1002761,Aerial Terminal,FDH107002,TRUNK10752,False,,virtual_stub_cable,True
T1002762,Aerial Terminal,FDH107002,TRUNK10752,False,,virtual_stub_cable,True
T1002763,Aerial Terminal,FDH107002,TRUNK10752,False,,virtual_stub_cable,True
T1002764,Aerial Terminal,FDH107002,TRUNK10747,False,,virtual_stub_cable,True
T1002765,Aerial Terminal,FDH107002,TRUNK10747,False,,virtual_stub_cable,True
T1002766,Aerial Terminal,FDH107002,TRUNK10746,False,,virtual_stub_cable,True
T1002767,Aerial Terminal,FDH107002,TRUNK10746,False,,virtual_stub_cable,True
T1002768,Aerial Terminal,FDH107002,TRUNK10746,False,,virtual_stub_cable,True
T1002769,Aerial Terminal,FDH107002,TRUNK10767,False,,virtual_stub_cable,True
T1002770,Aerial Terminal,FDH107002,TRUNK10767,False,,virtual_stub_cable,True
T1002771,Aerial Terminal,FDH107002,TRUNK10749,False,,virtual_stub_cable,True
T1002773,Aerial Terminal,FDH107003,TRUNK10749,False,,virtual_stub_cable,True
T1002774,Aerial Terminal,FDH107003,TRUNK10744,False,,virtual_stub_cable,True
T1002775,Aerial Terminal,FDH107003,TRUNK10744,False,,virtual_stub_cable,True
T1002776,Aerial Terminal,FDH107003,TRUNK10742,False,,virtual_stub_cable,True
T1002777,Aerial Terminal,FDH107003,TRUNK10742,False,,virtual_stub_cable,True
T1002779,Aerial Terminal,FDH107003,TRUNK10743,False,,virtual_stub_cable,True
T1002780,Aerial Terminal,FDH107003,TRUNK10743,False,,virtual_stub_cable,True
T1002783,Aerial Terminal,FDH107002,TRUNK10745,False,,virtual_stub_cable,True
T1002784,Aerial Terminal,FDH107004,TRUNK10769,False,,virtual_stub_cable,True
T1002785,Aerial Terminal,FDH107001,TRUNK10770,False,,virtual_stub_cable,True
T1002786,Aerial Terminal,FDH107001,TRUNK10770,False,,virtual_stub_cable,True
T1002789,Aerial Terminal,FDH107001,TRUNK10774,False,,virtual_stub_cable,True
T1002795,Aerial Terminal,FDH107001,TRUNK10772,False,,virtual_stub_cable,True
T1002797,Aerial Terminal,FDH107001,TRUNK10772,False,,virtual_stub_cable,True
T1002798,Aerial Terminal,FDH107001,TRUNK10772,False,,virtual_stub_cable,True
T1002799,Aerial Terminal,FDH107001,TRUNK10772,False,,virtual_stub_cable,True
T1002800,Aerial Terminal,FDH107001,TRUNK10771,False,,virtual_stub_cable,True
T1002801,Aerial Terminal,FDH107001,TRUNK10771,False,,virtual_stub_cable,True
T1002802,Aerial Terminal,FDH107001,TRUNK10771,False,,virtual_stub_cable,True
T1002805,Aerial Terminal,FDH107001,TRUNK10773,False,,virtual_stub_cable,True
