source_id,source_type,source_terminal_type,target_id,target_type,target_terminal_type,source_fosc_type,target_fosc_type,trunk_id,length_m
T1001411,terminal,MST,FDH103012,fdh,,,,,
T1001433,terminal,MST,FDH103012,fdh,,,,,
T1001419,terminal,MST,FDH103009,fdh,,,,,
T1001415,terminal,MST,FDH103012,fdh,,,,,
T1001419,terminal,MST,FDH103009,fdh,,,,,
T1001443,terminal,MST,FDH103012,fdh,,,,,
T1001414,terminal,MST,FDH103012,fdh,,,,,
T1001414,terminal,MST,FDH103012,fdh,,,,,
T1001414,terminal,MST,FDH103012,fdh,,,,,
T1001414,terminal,MST,FDH103012,fdh,,,,,
T1001411,terminal,MST,FDH103012,fdh,,,,,
T1001443,terminal,MST,FDH103012,fdh,,,,,
T1001443,terminal,MST,FDH103012,fdh,,,,,
T1001493,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001010,terminal,MST,FDH103015,fdh,,,,,
T1001009,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001002,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001004,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001002,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001001,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001001,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001010,terminal,MST,FDH103015,fdh,,,,,
T1001005,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001008,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001013,terminal,MST,FDH103006,fdh,,,,,
T1001155,terminal,MST,FDH103015,fdh,,,,,
T1001007,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001155,terminal,MST,FDH103015,fdh,,,,,
T1001003,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001004,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001006,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001006,terminal,Aerial Terminal,FDH103015,fdh,,,,,
T1001434,terminal,MST,FDH103012,fdh,,,,,
T1001434,terminal,MST,FDH103012,fdh,,,,,
T1001434,terminal,MST,FDH103012,fdh,,,,,
T1001424,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001421,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001423,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001424,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001472,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001469,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001426,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001473,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001468,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001465,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001479,terminal,MST,FDH103011,fdh,,,,,
T1001468,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001468,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001462,terminal,MST,FDH103011,fdh,,,,,
T1001430,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001464,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001470,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001470,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001470,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001470,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001470,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001472,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001472,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001471,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001461,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001429,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001466,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001428,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001430,terminal,Aerial Terminal,FDH103012,fdh,,,,,
T1001497,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001467,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001480,terminal,MST,FDH103011,fdh,,,,,
T1001497,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001467,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001467,terminal,Aerial Terminal,FDH103011,fdh,,,,,
T1001497,terminal,Aerial Terminal,FDH103011,fdh,,,,,
